,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature,Track_Popularity,Artist_Popularity,Hot
3994,2000,Faith Hill,Breathe,0.529,0.496,7,-9.007,1,0.029,0.173,0.0,0.251,0.278,136.859,250547,4,62,66,1
3997,2000,Joe,I Wanna Know,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,296693,4,64,76,1
3998,2000,Vertical Horizon,Everything You Want,0.637,0.759,3,-6.389,0,0.0305,0.0504,0.0,0.0642,0.741,93.898,257067,4,65,57,1
4000,2000,Savage Garden,I Knew I Loved You,0.556,0.517,9,-8.769,1,0.0287,0.307,0.00115,0.077,0.779,169.938,251253,4,64,67,1
4002,2000,Matchbox Twenty,Bent,0.518,0.83,6,-6.814,0,0.0386,0.0404,3.85e-06,0.375,0.527,95.468,256133,4,52,70,1
4003,2000,Toni Braxton,He Wasnt Man Enough,0.739,0.947,11,-1.915,0,0.0412,0.00947,2.99e-05,0.326,0.763,88.009,261933,4,65,67,1
4004,2000,Creed,Higher,0.459,0.83,2,-6.254,1,0.0364,5.15e-05,0.00014,0.206,0.431,155.826,316733,4,65,78,1
4005,2000,Aaliyah,Try Again,0.635,0.841,1,-6.369,0,0.15,0.263,0.0,0.163,0.915,93.051,284240,4,32,37,1
4006,2000,Destinys Child,"Jumpin, Jumpin",0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,230200,4,70,76,1
4007,2000,Sisqó,Thong Song,0.701,0.885,2,-6.81,1,0.0614,0.132,0.000197,0.0657,0.741,121.54,253733,4,65,58,1
4008,2000,3 Doors Down,Kryptonite,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.12e-05,0.168,0.543,99.01,233933,4,77,73,1
4010,2000,Madonna,Music,0.734,0.833,7,-8.166,1,0.0644,0.00132,0.0824,0.2,0.862,119.847,224240,4,44,78,1
4011,2000,Janet Jackson,Doesnt Really Matter,0.773,0.8,5,-2.875,0,0.0825,0.0791,0.00259,0.11,0.791,99.293,264973,4,43,70,1
4012,2000,Christina Aguilera,What a Girl Wants,0.754,0.819,0,-6.833,1,0.112,0.0684,0.0,0.345,0.818,142.137,215800,4,62,80,1
4015,2000,Marc Anthony,You Sang to Me,0.61,0.902,0,-5.147,1,0.0726,0.128,0.0,0.165,0.738,92.965,353707,4,59,81,1
4017,2000,Montell Jordan,Get It On Tonite,0.806,0.494,10,-9.973,0,0.0786,0.278,4.69e-05,0.0633,0.861,99.003,277413,4,52,62,1
4018,2000,Sisqó,Incomplete,0.75,0.446,1,-8.059,0,0.0759,0.282,0.0,0.119,0.291,119.489,274227,4,61,58,1
4019,2000,Macy Gray,I Try,0.593,0.642,2,-7.284,1,0.0299,0.313,0.000582,0.0804,0.736,76.403,239440,4,72,65,1
4021,2000,Celine Dion,Thats The Way It Is,0.635,0.88,9,-5.405,1,0.0452,0.141,0.0,0.125,0.596,93.043,241373,4,54,77,1
4022,2000,Nelly,Country Grammar (Hot Shit),0.872,0.673,2,-6.879,1,0.108,0.00802,0.0,0.155,0.527,162.781,287000,4,68,77,1
4023,2000,Blaque,Bring It All to Me,0.695,0.579,0,-5.066,1,0.0325,0.000479,0.0,0.0556,0.726,88.957,218187,4,49,50,1
4024,2000,Backstreet Boys,Show Me the Meaning of Being Lonely,0.63,0.625,6,-5.088,0,0.0252,0.231,0.0,0.0765,0.683,167.998,234960,4,65,80,1
4026,2000,BBMak,Back Here,0.618,0.941,7,-3.119,1,0.0341,0.0796,2.51e-06,0.0755,0.929,104.774,218200,4,50,44,1
4027,2000,Sonique,It Feels So Good,0.634,0.677,5,-7.278,0,0.0304,0.0117,0.00103,0.126,0.558,135.012,240867,4,48,47,1
4028,2000,Nine Days,Absolutely (Story of a Girl),0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,189333,4,65,53,1
4029,2000,Creed,With Arms Wide Open,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,274800,4,62,78,1
4030,2000,Enrique Iglesias,Be with You,0.696,0.872,1,-5.417,0,0.0328,0.0315,0.000769,0.0411,0.55,122.009,220160,4,53,80,1
4031,2000,Christina Aguilera,Come On Over Baby (All I Want Is You),0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,203333,4,63,80,1
4032,2000,Ruff Endz,No More,0.839,0.641,10,-5.669,0,0.0858,0.0324,4.56e-06,0.0602,0.927,97.004,242560,4,50,44,1
4033,2000,Blink 182,All The Small Things,0.439,0.891,0,-4.764,1,0.057,0.0122,0.0,0.547,0.695,148.599,168000,4,79,79,1
4034,2000,Faith Hill,The Way You Love Me,0.627,0.716,2,-7.175,1,0.0352,0.127,0.0,0.0344,0.734,101.99,186067,4,41,44,1
4035,2000,Christina Aguilera,I Turn To You,0.599,0.47,1,-8.356,1,0.0376,0.38,0.0,0.111,0.298,127.177,273707,4,56,80,1
4036,2000,Third Eye Blind,Never Let You Go,0.728,0.94,4,-5.034,1,0.0368,0.0814,0.000162,0.109,0.967,113.76,237240,4,61,68,1
4037,2000,LeAnn Rimes,I Need You,0.478,0.736,7,-7.124,1,0.0367,0.02,9.58e-05,0.118,0.564,144.705,229827,4,51,63,1
4039,2000,Jagged Edge,Lets Get Married,0.761,0.627,1,-5.554,1,0.0538,0.175,0.0,0.128,0.891,109.821,263227,4,57,65,1
4041,2000,Smash Mouth,Then The Morning Comes,0.736,0.868,5,-4.972,0,0.0289,0.024,0.0,0.0735,0.961,118.599,182267,4,45,71,1
4042,2000,Eiffel 65,Blue (Da Ba Dee),0.822,0.969,7,-11.471,0,0.0582,0.259,0.000162,0.39,0.765,128.007,283748,4,71,65,1
4044,2000,Eminem,The Real Slim Shady,0.95,0.665,5,-4.286,0,0.061,0.0339,0.0,0.0453,0.76,104.504,284200,4,72,96,1
4046,2000,Next,Wifey,0.829,0.652,7,-8.693,0,0.108,0.067,0.0,0.0812,0.726,99.581,243159,4,61,73,1
4047,2000,Everclear,Wonderful,0.514,0.817,7,-6.489,1,0.05,0.0118,8.25e-06,0.346,0.734,186.765,280813,4,55,60,1
4048,2000,Britney Spears,Oops!... I Did It Again,0.751,0.834,1,-5.444,0,0.0437,0.3,1.77e-05,0.355,0.894,95.053,211160,4,75,81,1
